enlace_producto,enlace_imagen
/bolsas-de-basura-pequena-superior-45-x-55-cm-20-unid-blanco/p,https://jumbo.vteximg.com.br/arquivos/ids/434964-180-180?width=180&height=180&aspect=true
/yoghurt-1-1-soprole-140-g-zucaritas-con-cuchara/p,https://jumbo.vteximg.com.br/arquivos/ids/464380-180-180?width=180&height=180&aspect=true
/yoghurt-batido-soprole-155-g-natural/p,https://jumbo.vteximg.com.br/arquivos/ids/414681-180-180?width=180&height=180&aspect=true
/leche-semidescremada-loncoleche-1-l-sin-lactosa-natural-caja-tapa-rosca/p,https://jumbo.vteximg.com.br/arquivos/ids/755904-180-180?width=180&height=180&aspect=true
/leche-entera-colun-caja-1-l-natural/p,https://jumbo.vteximg.com.br/arquivos/ids/687146-180-180?width=180&height=180&aspect=true
/leche-descremada-colun-1-l-2/p,https://jumbo.vteximg.com.br/arquivos/ids/687145-180-180?width=180&height=180&aspect=true
/leche-colun-semi-descremada-1-litro/p,https://jumbo.vteximg.com.br/arquivos/ids/687147-180-180?width=180&height=180&aspect=true
/crema-de-leche-nestle-lata-157-g-2/p,https://jumbo.vteximg.com.br/arquivos/ids/759268-180-180?width=180&height=180&aspect=true
/crema-de-leche-colun-caja-200-ml/p,https://jumbo.vteximg.com.br/arquivos/ids/396630-180-180?width=180&height=180&aspect=true
/cebolla-granel/p,https://jumbo.vteximg.com.br/arquivos/ids/412178-180-180?width=180&height=180&aspect=true
/zanahoria-jumbo-granel/p,https://jumbo.vteximg.com.br/arquivos/ids/224571-180-180?width=180&height=180&aspect=true
/tomate-romanita-jumbo-340-g/p,https://jumbo.vteximg.com.br/arquivos/ids/416191-180-180?width=180&height=180&aspect=true
/tomate-coctel-250-g-2/p,https://jumbo.vteximg.com.br/arquivos/ids/624628-180-180?width=180&height=180&aspect=true
/pimiento-amarillo-jumbo-unid/p,https://jumbo.vteximg.com.br/arquivos/ids/164288-180-180?width=180&height=180&aspect=true
/papas-jumbo-1-kg-6-unidad-aprox-granel/p,https://jumbo.vteximg.com.br/arquivos/ids/412160-180-180?width=180&height=180&aspect=true
/limon-sutil-granel/p,https://jumbo.vteximg.com.br/arquivos/ids/196448-180-180?width=180&height=180&aspect=true
/espinaca-jumbo-500-g/p,https://jumbo.vteximg.com.br/arquivos/ids/412162-180-180?width=180&height=180&aspect=true
/cebolla-morada-jumbo-granel/p,https://jumbo.vteximg.com.br/arquivos/ids/415935-180-180?width=180&height=180&aspect=true
/cebolla-feria-jumbo-malla-1-kg-8-unidad-aprox/p,https://jumbo.vteximg.com.br/arquivos/ids/675728-180-180?width=180&height=180&aspect=true
/albahaca-unid/p,https://jumbo.vteximg.com.br/arquivos/ids/240905-180-180?width=180&height=180&aspect=true
/aji-verde-jumbo-granel/p,https://jumbo.vteximg.com.br/arquivos/ids/455375-180-180?width=180&height=180&aspect=true
/naranja-granel-2/p,https://jumbo.vteximg.com.br/arquivos/ids/416123-180-180?width=180&height=180&aspect=true
/harina-sin-polvos-de-hornear-selecta-1-kg-2/p,https://jumbo.vteximg.com.br/arquivos/ids/870847-180-180?width=180&height=180&aspect=true
/galletas-dulces-costa-71-g-bocado-nik/p,https://jumbo.vteximg.com.br/arquivos/ids/453273-180-180?width=180&height=180&aspect=true
/galletas-dulces-costa-100-g-donuts-chocolate-de-leche/p,https://jumbo.vteximg.com.br/arquivos/ids/452746-180-180?width=180&height=180&aspect=true
/chocolate-trencito-150-g-barra/p,https://jumbo.vteximg.com.br/arquivos/ids/699134-180-180?width=180&height=180&aspect=true
/sal-fina-lobos-1-kg/p,https://jumbo.vteximg.com.br/arquivos/ids/429713-180-180?width=180&height=180&aspect=true
/mayonesa-kraft-pote-794-g/p,https://jumbo.vteximg.com.br/arquivos/ids/935118-180-180?width=180&height=180&aspect=true
/galletas-costa-255-g-tripack-crackelet/p,https://jumbo.vteximg.com.br/arquivos/ids/969782-180-180?width=180&height=180&aspect=true
/compota-vivo-90-g-mifrut-manzana/p,https://jumbo.vteximg.com.br/arquivos/ids/654995-180-180?width=180&height=180&aspect=true
/arroz-grado-1-tucapel-gran-seleccion-grano-largo-y-ancho-1-kg/p,https://jumbo.vteximg.com.br/arquivos/ids/459002-180-180?width=180&height=180&aspect=true
/sofrito-minuto-verde-150-g-con-ajo-2/p,https://jumbo.vteximg.com.br/arquivos/ids/632968-180-180?width=180&height=180&aspect=true
/choclo-minuto-verde-bolsa-500-g-congelado-2/p,https://jumbo.vteximg.com.br/arquivos/ids/870839-180-180?width=180&height=180&aspect=true
/choclo-la-crianza-bolsa-400-g-premium-tiernos-congelado-2/p,https://jumbo.vteximg.com.br/arquivos/ids/594045-180-180?width=180&height=180&aspect=true
/bebida-sprite-zero-15-l-botella-desechable/p,https://jumbo.vteximg.com.br/arquivos/ids/604063-180-180?width=180&height=180&aspect=true
/bebida-coca-cola-zero-3-l/p,https://jumbo.vteximg.com.br/arquivos/ids/763509-180-180?width=180&height=180&aspect=true
/agua-mineral-light-gas-cachantun-16-l-botella-desechable/p,https://jumbo.vteximg.com.br/arquivos/ids/946926-180-180?width=180&height=180&aspect=true
/agua-mineral-con-gas-cachantun-16-l-botella-desechable/p,https://jumbo.vteximg.com.br/arquivos/ids/946880-180-180?width=180&height=180&aspect=true
/lomoliso-envasado-12kgaprox/p,https://jumbo.vteximg.com.br/arquivos/ids/946874-180-180?width=180&height=180&aspect=true
